name;path;author;date;difficulty;topics
;D:\Files\Programming\TaskGen\data\217;Ираклий Гагуа;2010;42;['логика', '', '']
;D:\Files\Programming\TaskGen\data\218;Ираклий Гагуа;2010;43;['логика', '', '']
;D:\Files\Programming\TaskGen\data\219;Ираклий Гагуа;2010;43;['логика', '', '']
;D:\Files\Programming\TaskGen\data\22;25 школа;2012;72;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\220;Ираклий Гагуа;2010;43;['логика', '', '']
;D:\Files\Programming\TaskGen\data\221;Ираклий Гагуа;2010;43;['логика', '', '']
;D:\Files\Programming\TaskGen\data\222;Ираклий Гагуа;2010;43;['логика', '', '']
;D:\Files\Programming\TaskGen\data\223;Ираклий Гагуа;2010;43;['логика', '', '']
;D:\Files\Programming\TaskGen\data\224;Дмитрий;2011;70;['логика', 'ииили', '']
;D:\Files\Programming\TaskGen\data\225;Дмитрий;2011;70;['логика', 'ииили', '']
;D:\Files\Programming\TaskGen\data\226;Дмитрий;2011;70;['логика', 'ииили', '']
;D:\Files\Programming\TaskGen\data\227;Дмитрий;2011;70;['логика', 'ииили', '']
;D:\Files\Programming\TaskGen\data\228;Дмитрий;2011;70;['логика', 'ииили', '']
;D:\Files\Programming\TaskGen\data\229;Дмитрий;2011;70;['логика', 'ииили', '']
;D:\Files\Programming\TaskGen\data\23;25 школа;2012;73;['комбинаторика', 'геометрия', '']
;D:\Files\Programming\TaskGen\data\230;Дмитрий Трущин;2013;51;['логика', 'рыцари', '']
;D:\Files\Programming\TaskGen\data\231;Дмитрий Трущин;2013;51;['логика', 'рыцари', '']
;D:\Files\Programming\TaskGen\data\232;Дмитрий Трущин;2013;51;['логика', 'рыцари', '']
;D:\Files\Programming\TaskGen\data\233;Дмитрий Трущин;2013;51;['логика', 'рыцари', '']
;D:\Files\Programming\TaskGen\data\234;Дмитрий Трущин;2013;51;['логика', 'рыцари', '']
;D:\Files\Programming\TaskGen\data\235;Дмитрий Трущин;2013;51;['логика', 'рыцари', '']
;D:\Files\Programming\TaskGen\data\236;Дмитрий Трущин;2013;51;['логика', 'рыцари', '']
;D:\Files\Programming\TaskGen\data\237;Дмитрий Трущин;2013;51;['логика', 'рыцари', '']
;D:\Files\Programming\TaskGen\data\238;Дмитрий Трущин;2013;51;['логика', 'рыцари', '']
;D:\Files\Programming\TaskGen\data\239;Ираклий Гагуа;2010;51;['логика', '', '']
;D:\Files\Programming\TaskGen\data\24;25 школа;2012;73;['комбинаторика', 'шахматы', '']
;D:\Files\Programming\TaskGen\data\240;Ираклий Гагуа;2010;51;['логика', '', '']
;D:\Files\Programming\TaskGen\data\241;Ираклий Гагуа;2010;51;['логика', '', '']
;D:\Files\Programming\TaskGen\data\242;Ираклий Гагуа;2010;51;['логика', '', '']
;D:\Files\Programming\TaskGen\data\243;Ираклий Гагуа;2010;51;['логика', '', '']
;D:\Files\Programming\TaskGen\data\244;Ираклий Гагуа;2010;51;['логика', '', '']
;D:\Files\Programming\TaskGen\data\245;Ираклий Гагуа;2010;51;['логика', '', '']
;D:\Files\Programming\TaskGen\data\246;Ираклий Гагуа;2010;51;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\247;Ираклий Гагуа;2010;51;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\248;Ираклий Гагуа;2010;51;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\249;Ираклий Гагуа;2010;51;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\25;25 школа;2012;73;['комбинаторика', 'шахматы', '']
;D:\Files\Programming\TaskGen\data\250;Ираклий Гагуа;2010;51;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\251;Елена Фадеева;2017;41;['логика', '', '']
;D:\Files\Programming\TaskGen\data\252;Елена Фадеева;2017;41;['логика', '', '']
;D:\Files\Programming\TaskGen\data\253;Елена Фадеева;2017;41;['логика', '', '']
;D:\Files\Programming\TaskGen\data\254;Елена Фадеева;2017;41;['логика', '', '']
;D:\Files\Programming\TaskGen\data\255;Елена Фадеева;2017;41;['логика', '', '']
;D:\Files\Programming\TaskGen\data\256;Алексей Жедь;2010;71;['логика', '', '']
;D:\Files\Programming\TaskGen\data\257;Алексей Жедь;2010;71;['логика', '', '']
;D:\Files\Programming\TaskGen\data\258;Алексей Жедь;2010;71;['логика', '', '']
;D:\Files\Programming\TaskGen\data\259;Алексей Жедь;2010;71;['логика', '', '']
;D:\Files\Programming\TaskGen\data\26;25 школа;2012;73;['комбинаторика', 'числа', '']
